priority,offset_s,latency_ms,status,outcome
low,18.1565,2451.06,429,shed
medium,17.7838,2824.40,200,ok
low,17.1861,3442.67,429,shed
low,17.2605,3368.33,429,shed
medium,18.7844,1844.38,429,shed
medium,16.4520,4176.78,200,ok
low,17.1664,3462.44,429,shed
low,17.3102,3318.64,429,shed
low,17.1676,3461.25,429,shed
low,17.3612,3275.21,429,shed
low,17.3323,3304.20,429,shed
low,17.5035,3132.94,429,shed
low,17.4806,3155.87,429,shed
medium,17.0171,3619.43,200,ok
low,17.4232,3213.31,429,shed
medium,6.9338,13702.74,200,ok
low,17.4327,3203.87,429,shed
medium,18.8032,1833.39,429,shed
medium,7.0514,13585.12,200,ok
low,17.3541,3282.45,429,shed
medium,17.1746,3461.99,200,ok
medium,17.1895,3447.12,200,ok
low,18.2086,2452.48,429,shed
low,17.6310,3031.93,429,shed
low,17.5280,3135.86,429,shed
low,17.6031,3060.74,429,shed
low,17.5180,3147.82,429,shed
low,17.5852,3081.26,429,shed
low,17.6571,3009.99,429,shed
low,17.6705,2998.23,429,shed
medium,7.3028,13367.55,200,ok
low,17.7322,2939.87,429,shed
low,17.5569,3115.56,429,shed
medium,17.9226,2785.28,200,ok
medium,17.9836,2726.24,200,ok
medium,17.9155,2794.31,200,ok
low,18.2307,2479.15,429,shed
low,2.7025,18011.23,200,ok
low,17.9220,2800.57,429,shed
low,18.0926,2631.96,429,shed
medium,18.8173,1907.27,429,shed
medium,17.5530,3172.02,200,ok
low,18.1738,2555.46,429,shed
low,18.0039,2725.36,429,shed
low,18.0305,2699.17,429,shed
low,18.2105,2519.74,429,shed
low,18.3560,2376.96,429,shed
low,18.2207,2512.76,429,shed
low,18.0541,2679.87,429,shed
medium,7.0527,13681.82,200,ok
low,17.7746,2959.92,429,shed
low,18.3412,2410.26,429,shed
low,3.0020,17755.32,200,ok
low,18.3604,2409.36,429,shed
low,3.4204,17349.95,200,ok
low,17.2405,3546.96,429,shed
low,17.2994,3488.04,429,shed
medium,4.3359,16451.58,200,ok
low,3.1905,17596.98,200,ok
low,17.3202,3467.28,429,shed
low,3.6906,17098.46,200,ok
low,2.9517,17837.37,200,ok
low,17.2535,3535.61,429,shed
low,3.4111,17378.37,200,ok
low,3.7105,17079.38,200,ok
medium,17.6174,3195.73,200,ok
medium,17.5193,3300.43,200,ok
low,18.7612,2063.96,429,shed
low,17.5504,3276.06,429,shed
medium,4.1335,16693.00,200,ok
low,18.7411,2085.77,429,shed
high,18.2507,2578.65,429,shed
low,17.5604,3268.91,429,shed
medium,6.4354,14393.93,200,ok
low,18.3718,2457.61,429,shed
high,17.8507,2978.70,200,ok
low,17.6204,3209.00,429,shed
low,17.4907,3339.75,429,shed
low,17.6605,3169.97,429,shed
low,18.4052,2425.59,429,shed
medium,6.6022,14280.39,200,ok
low,18.7812,2101.43,429,shed
low,18.8208,2063.36,429,shed
low,18.7904,2094.27,429,shed
low,18.8038,2082.09,429,shed
medium,18.8530,2067.90,429,shed
low,18.0204,2900.56,429,shed
low,18.1047,2816.30,429,shed
medium,6.3669,14554.11,200,ok
low,17.7808,3140.21,429,shed
low,17.9912,2929.88,429,shed
low,17.9534,2967.64,429,shed
low,17.9195,3001.55,429,shed
low,17.7123,3208.82,429,shed
medium,18.6879,2243.32,429,shed
high,18.6545,2276.78,429,shed
medium,18.6701,2265.01,429,shed
medium,6.7114,14255.66,200,ok
medium,18.7023,2318.51,429,shed
medium,18.7168,2304.01,429,shed
medium,4.4024,16618.49,200,ok
medium,13.8313,7225.82,200,ok
medium,17.1752,3919.58,200,ok
medium,14.7023,6393.02,200,ok
medium,18.7345,2365.07,429,shed
low,18.5128,2586.73,429,shed
medium,16.3028,4814.15,200,ok
low,18.5422,2589.20,429,shed
low,18.5304,2606.70,429,shed
low,18.5617,2576.56,429,shed
medium,14.8347,6313.23,200,ok
medium,17.3020,3845.87,200,ok
medium,16.5345,4614.03,200,ok
medium,18.9519,2233.08,429,shed
low,18.5907,2594.32,429,shed
low,18.5804,2604.59,429,shed
medium,13.6336,7577.49,200,ok
medium,16.8636,4350.28,200,ok
medium,16.8683,4347.21,200,ok
low,18.6105,2609.68,429,shed
high,19.0008,2221.85,429,shed
low,3.0210,18208.03,200,ok
medium,14.9336,6295.85,200,ok
low,18.6044,2629.77,429,shed
medium,16.9675,4295.39,200,ok
high,17.5519,3741.68,200,ok
low,18.6315,2666.72,429,shed
